time_s,cell,tx_power_dbm,ret_tilt_deg,ret_bearing_deg,ttt_ms,hysteresis_db,num_ues,avg_rsrp_dbm,ho_in_count,ho_out_count,pingpong_count,avg_throughput_mbps,prb_utilization_pct,energy_state,tx_power_watts,energy_efficiency_mbps_per_w
0.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_2,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_5G,43,15,10,256,3,1,-71,1,0,0,0.172032,0.416667,ON,223.777,0.000768764
1.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_4G_2,43,15,0,256,3,0,nan,0,1,0,0,0.7,ON,223.777,0
2.5,gNB_5G,43,15,10,256,3,1,-72,1,0,0,0.4096,0.833333,ON,223.777,0.00183039
2.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
2.5,gNB_4G_2,43,15,0,256,3,0,nan,0,1,0,0,0,ON,223.777,0
3.5,gNB_5G,43,15,10,256,3,1,-73,1,0,0,0.4096,1.18333,ON,223.777,0.00183039
3.5,gNB_4G_1,43,15,0,256,3,1,-62,0,0,0,0.172032,0.733333,ON,223.777,0.000768764
3.5,gNB_4G_2,43,15,0,256,3,0,nan,0,1,0,0,0,ON,223.777,0
4.5,gNB_5G,43,15,10,256,3,2,-73,2,0,0,0.299008,2.01667,ON,223.777,0.00267237
4.5,gNB_4G_1,43,15,0,256,3,3,-64.6667,0,0,0,0.262144,2.2,ON,223.777,0.00351435
4.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,1.25,ON,223.777,0
5.5,gNB_5G,43,15,10,256,3,2,-75.5,2,0,0,0.4096,2.53333,ON,223.777,0.00366078
5.5,gNB_4G_1,43,15,0,256,3,3,-65.6667,0,0,0,0.4096,2.5,ON,223.777,0.00549117
5.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
6.5,gNB_5G,43,15,10,256,3,2,-73.5,2,0,0,0.4096,2.06667,ON,223.777,0.00366078
6.5,gNB_4G_1,43,15,0,256,3,3,-65.3333,0,0,0,0.4096,2.5,ON,223.777,0.00549117
6.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
7.5,gNB_5G,43,15,10,256,3,3,-74,3,0,0,0.330411,2.70833,ON,223.777,0.00442955
7.5,gNB_4G_1,43,15,0,256,3,3,-67,0,1,0,0.4096,3.65833,ON,223.777,0.00549117
7.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
8.5,gNB_5G,43,15,10,256,3,3,-76,3,0,0,0.4096,5.38333,ON,223.777,0.00549117
8.5,gNB_4G_1,43,15,0,256,3,3,-67.3333,0,1,0,0.4096,3.75833,ON,223.777,0.00549117
8.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
9.5,gNB_5G,43,15,10,256,3,3,-73.6667,3,0,0,0.4096,4.4,ON,223.777,0.00549117
9.5,gNB_4G_1,43,15,0,256,3,3,-66.6667,0,1,0,0.4096,3.59167,ON,223.777,0.00549117
9.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
10.5,gNB_5G,43,15,10,256,3,3,-75,3,0,0,0.4096,3.56667,ON,223.777,0.00549117
10.5,gNB_4G_1,43,15,0,256,3,3,-64,0,1,0,0.4096,2.84167,ON,223.777,0.00549117
10.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
11.5,gNB_5G,43,15,10,256,3,2,-74.5,3,1,1,0.4096,1.95,ON,223.777,0.00366078
11.5,gNB_4G_1,43,15,0,256,3,4,-65,1,1,0,0.4096,3.89167,ON,223.777,0.00732156
11.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
12.5,gNB_5G,43,15,10,256,3,2,-73,3,1,1,0.4096,1.66667,ON,223.777,0.00366078
12.5,gNB_4G_1,43,15,0,256,3,5,-67,1,1,0,0.365363,4.475,ON,223.777,0.00816354
12.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
13.5,gNB_5G,43,15,10,256,3,2,-73,3,1,1,0.4096,1.7,ON,223.777,0.00366078
13.5,gNB_4G_1,43,15,0,256,3,5,-67.8,1,1,0,0.4096,5.01667,ON,223.777,0.00915195
13.5,gNB_4G_2,43,15,0,256,3,0,nan,0,2,0,0,0,ON,223.777,0
14.5,gNB_5G,43,15,10,256,3,0,nan,3,3,1,0,2.4,ON,223.777,0
14.5,gNB_4G_1,43,15,0,256,3,5,-67,1,1,0,0.4096,4.78333,ON,223.777,0.00915195
14.5,gNB_4G_2,43,15,0,256,3,2,-73.5,2,2,0,0.4096,2.20833,ON,223.777,0.00366078
15.5,gNB_5G,43,15,10,256,3,0,nan,3,3,1,0,0,ON,223.777,0
15.5,gNB_4G_1,43,15,0,256,3,6,-65.6667,1,1,0,0.370005,5.29167,ON,223.777,0.00992072
15.5,gNB_4G_2,43,15,0,256,3,2,-70,2,2,0,0.4096,1.66667,ON,223.777,0.00366078
16.5,gNB_5G,43,15,10,256,3,0,nan,3,3,1,0,0,ON,223.777,0
16.5,gNB_4G_1,43,15,0,256,3,6,-67.6667,1,1,0,0.4096,5.56667,ON,223.777,0.0109823
16.5,gNB_4G_2,43,15,0,256,3,2,-74,2,2,0,0.4096,1.66667,ON,223.777,0.00366078
17.5,gNB_5G,43,15,10,256,3,0,nan,3,3,1,0,0,ON,223.777,0
17.5,gNB_4G_1,43,15,0,256,3,6,-66.6667,1,1,0,0.4096,5,ON,223.777,0.0109823
