"time","x","y","z"
"1.000","-243.749945","511.675038","28.622057"
"1.100","-243.750896","511.455040","28.622057"
"1.200","-243.751845","511.235042","28.622057"
"1.300","-243.752795","511.015044","28.622057"
"1.400","-243.753745","510.795046","28.622057"
"1.500","-243.754695","510.575048","28.622057"
"1.600","-243.755646","510.355050","28.622057"
"1.700","-243.756596","510.135052","28.622057"
"1.800","-243.757546","509.915054","28.622057"
"1.900","-243.758496","509.695056","28.622057"
"2.000","-243.759445","509.475059","28.622057"
"2.100","-243.760395","509.255061","28.622057"
"2.200","-243.761346","509.035063","28.622057"
"2.300","-243.762296","508.815065","28.622057"
"2.400","-243.763246","508.595067","28.622057"
"2.500","-243.764196","508.375069","28.622057"
"2.600","-243.765146","508.155071","28.622057"
"2.700","-243.766096","507.935073","28.622057"
"2.800","-243.767046","507.715075","28.622057"
"2.900","-243.767996","507.495077","28.622057"
"3.000","-243.768946","507.275079","28.622057"
"3.100","-243.769896","507.055081","28.622057"
"3.200","-243.770846","506.835083","28.622057"
"3.300","-243.771797","506.615085","28.622057"
"3.400","-243.772746","506.395087","28.622057"
"3.500","-243.773696","506.175089","28.622057"
"3.600","-243.774646","505.955091","28.622057"
"3.700","-243.775596","505.735093","28.622057"
"3.800","-243.776546","505.515095","28.622057"
"3.900","-243.777497","505.295097","28.622057"
"4.000","-243.778447","505.075100","28.622057"
"4.100","-243.779397","504.855102","28.622057"
"4.200","-243.780347","504.635104","28.622057"
"4.300","-243.781296","504.415106","28.622057"
"4.400","-243.782247","504.195108","28.622057"
"4.500","-243.783197","503.975110","28.622057"
"4.600","-243.784147","503.755112","28.622057"
"4.700","-243.785097","503.535114","28.622057"
"4.800","-243.786046","503.315116","28.622057"
"4.900","-243.786997","503.095118","28.622057"
"5.000","-243.787947","502.875120","28.622057"
"5.100","-243.788897","502.655122","28.622057"
"5.200","-243.789847","502.435124","28.622057"
"5.300","-243.790797","502.215126","28.622057"
"5.400","-243.791747","501.995128","28.622057"
"5.500","-243.792697","501.775130","28.622057"
"5.600","-243.793647","501.555132","28.622057"
"5.700","-243.794597","501.335134","28.622057"
"5.800","-243.795547","501.115136","28.622057"
"5.900","-243.796498","500.895139","28.622057"
"6.000","-243.797447","500.675141","28.622057"
"6.100","-243.798398","500.455143","28.622057"
"6.200","-243.799348","500.235145","28.622057"
"6.300","-243.800297","500.015147","28.622057"
"6.400","-243.801248","499.795149","28.622057"
"6.500","-243.802197","499.575151","28.622057"
"6.600","-243.803148","499.355153","28.622057"
"6.700","-243.804098","499.135155","28.622057"
"6.800","-243.805048","498.915157","28.622057"
"6.900","-243.805998","498.695159","28.622057"
"7.000","-243.806948","498.475161","28.622057"
"7.100","-243.807898","498.255163","28.622057"
"7.200","-243.808848","498.035165","28.622057"
"7.300","-243.809798","497.815167","28.622057"
"7.400","-243.810748","497.595169","28.622057"
"7.500","-243.811698","497.375171","28.622057"
"7.600","-243.812649","497.155173","28.622057"
"7.700","-243.813598","496.935175","28.622057"
"7.800","-243.814548","496.715177","28.622057"
"7.900","-243.815498","496.495180","28.622057"
"8.000","-243.816448","496.275182","28.622057"
"8.100","-243.817399","496.055184","28.622057"
"8.200","-243.818348","495.835186","28.622057"
"8.300","-243.819299","495.615188","28.622057"
"8.400","-243.820249","495.395190","28.622057"
"8.500","-243.821198","495.175192","28.622057"
"8.600","-243.822149","494.955194","28.622057"
"8.700","-243.823099","494.735196","28.622057"
"8.800","-243.824049","494.515198","28.622057"
"8.900","-243.824999","494.295200","28.622057"
"9.000","-243.825949","494.075202","28.622057"
"9.100","-243.826899","493.855204","28.622057"
"9.200","-243.827849","493.635206","28.622057"
"9.300","-243.828799","493.415208","28.622057"
"9.400","-243.829749","493.195210","28.622057"
"9.500","-243.830699","492.975212","28.622057"
"9.600","-243.831649","492.755214","28.622057"
"9.700","-243.832599","492.535216","28.622057"
"9.800","-243.833550","492.315219","28.622057"
"9.900","-243.834499","492.095221","28.622057"
"10.000","-243.835449","491.875223","28.622057"
"10.100","-243.836399","491.655225","28.622057"
"10.200","-243.837349","491.435227","28.622057"
"10.300","-243.838300","491.215229","28.622057"
"10.400","-243.839250","490.995231","28.622057"
"10.500","-243.840200","490.775233","28.622057"
"10.600","-243.841150","490.555235","28.622057"
"10.700","-243.842100","490.335237","28.622057"
"10.800","-243.843050","490.115239","28.622057"
"10.900","-243.844000","489.895241","28.622057"
"11.000","-243.844950","489.675243","28.622057"
"11.100","-243.845900","489.455245","28.622057"
"11.200","-243.846850","489.235247","28.622057"
"11.300","-243.847800","489.015249","28.622057"
"11.400","-243.848750","488.795251","28.622057"
"11.500","-243.849700","488.575253","28.622057"
"11.600","-243.850650","488.355255","28.622057"
"11.700","-243.851600","488.135258","28.622057"
"11.800","-243.852550","487.915260","28.622057"
"11.900","-243.853500","487.695262","28.622057"
"12.000","-243.854451","487.475264","28.622057"
"12.100","-243.855401","487.255266","28.622057"
"12.200","-243.856350","487.035268","28.622057"
"12.300","-243.857300","486.815270","28.622057"
"12.400","-243.858250","486.595272","28.622057"
"12.500","-243.859201","486.375274","28.622057"
"12.600","-243.860151","486.155276","28.622057"
"12.700","-243.861101","485.935278","28.622057"
"12.800","-243.862051","485.715280","28.622057"
"12.900","-243.863001","485.495282","28.622057"
"13.000","-243.863951","485.275284","28.622057"
"13.100","-243.864901","485.055286","28.622057"
"13.200","-243.865851","484.835288","28.622057"
"13.300","-243.866801","484.615290","28.622057"
"13.400","-243.867751","484.395292","28.622057"
"13.500","-243.868701","484.175294","28.622057"
"13.600","-243.869651","483.955296","28.622057"
"13.700","-243.870601","483.735299","28.622057"
"13.800","-243.871551","483.515301","28.622057"
"13.900","-243.872501","483.295303","28.622057"
"14.000","-243.873451","483.075305","28.622057"
"14.100","-243.874401","482.855307","28.622057"
"14.200","-243.875352","482.635309","28.622057"
"14.300","-243.876302","482.415311","28.622057"
"14.400","-243.877251","482.195313","28.622057"
"14.500","-243.878201","481.975315","28.622057"
"14.600","-243.879152","481.755317","28.622057"
"14.700","-243.880101","481.535319","28.622057"
"14.800","-243.881052","481.315321","28.622057"
"14.900","-243.882002","481.095323","28.622057"
"15.000","-243.882952","480.875325","28.622057"
"15.100","-243.883902","480.655327","28.622057"
"15.200","-243.884852","480.435329","28.622057"
"15.300","-243.885802","480.215331","28.622057"
"15.400","-243.886752","479.995333","28.622057"
"15.500","-243.887702","479.775335","28.622057"
"15.600","-243.888652","479.555338","28.622057"
"15.700","-243.889602","479.335340","28.622057"
"15.800","-243.890552","479.115342","28.622057"
"15.900","-243.891502","478.895344","28.622057"
"16.000","-243.892452","478.675346","28.622057"
"16.100","-243.893402","478.455348","28.622057"
"16.200","-243.894352","478.235350","28.622057"
"16.300","-243.895303","478.015352","28.622057"
"16.400","-243.896252","477.795354","28.622057"
"16.500","-243.897203","477.575356","28.622057"
"16.600","-243.898153","477.355358","28.622057"
"16.700","-243.899102","477.135360","28.622057"
"16.800","-243.900053","476.915362","28.622057"
"16.900","-243.901002","476.695364","28.622057"
"17.000","-243.901953","476.475366","28.622057"
"17.100","-243.902903","476.255368","28.622057"
"17.200","-243.903853","476.035370","28.622057"
"17.300","-243.904803","475.815372","28.622057"
"17.400","-243.905753","475.595374","28.622057"
"17.500","-243.906703","475.375376","28.622057"
"17.600","-243.907653","475.155379","28.622057"
"17.700","-243.908603","474.935381","28.622057"
"17.800","-243.909553","474.715383","28.622057"
"17.900","-243.910503","474.495385","28.622057"
"18.000","-243.911454","474.275387","28.622057"
"18.100","-243.912403","474.055389","28.622057"
"18.200","-243.913353","473.835391","28.622057"
"18.300","-243.914303","473.615393","28.622057"
"18.400","-243.915253","473.395395","28.622057"
"18.500","-243.916204","473.175397","28.622057"
"18.600","-243.917153","472.955399","28.622057"
"18.700","-243.918104","472.735401","28.622057"
"18.800","-243.919054","472.515403","28.622057"
"18.900","-243.920003","472.295405","28.622057"
"19.000","-243.920954","472.075407","28.622057"
"19.100","-243.921904","471.855409","28.622057"
"19.200","-243.922854","471.635411","28.622057"
"19.300","-243.923804","471.415413","28.622057"
"19.400","-243.924754","471.195415","28.622057"
"19.500","-243.925704","470.975418","28.622057"
"19.600","-243.926654","470.755420","28.622057"
"19.700","-243.927604","470.535422","28.622057"
"19.800","-243.928554","470.315424","28.622057"
"19.900","-243.929504","470.095426","28.622057"
"20.000","-243.930454","469.875428","28.622057"
"20.100","-243.931404","469.655430","28.622057"
"20.200","-243.932355","469.435432","28.622057"
"20.300","-243.933304","469.215434","28.622057"
"20.400","-243.934254","468.995436","28.622057"
"20.500","-243.935205","468.775438","28.622057"
