name,txp_5g,txp_4g1,txp_4g2,ret_5g,ret_4g1,ret_4g2,cio_5g,cio_4g1,cio_4g2,ttt_ms,hys_db
gnn_0000,30,43,43,9,5,7,5,-1,1,256,4.5
gnn_0001,33,33,30,9,3,12,8,-2,-1,128,5.0
gnn_0002,33,30,40,9,9,9,5,0,1,720,3.5
gnn_0003,37,37,40,3,5,3,6,2,0,128,2.5
gnn_0004,40,33,30,3,7,7,9,-1,-2,128,2.5
gnn_0005,37,40,37,9,5,12,6,2,2,720,4.0
gnn_0006,37,33,40,5,7,12,8,0,0,340,2.5
gnn_0007,30,43,40,7,9,7,6,-2,-1,128,4.0
gnn_0008,37,40,37,7,7,7,8,-2,-2,512,5.0
gnn_0009,37,37,33,3,5,5,7,1,0,720,2.5
gnn_0010,43,33,33,7,12,7,8,-2,-2,512,4.5
gnn_0011,37,33,40,9,7,5,5,-2,2,340,5.0
gnn_0012,40,43,40,5,9,9,8,-1,-1,340,3.5
gnn_0013,37,43,33,7,12,12,9,2,1,256,1.0
gnn_0014,43,30,40,3,3,5,9,-1,-2,512,0.5
gnn_0015,37,43,43,5,3,12,8,2,0,340,3.5
gnn_0016,37,37,37,12,5,12,5,-2,-1,720,1.5
gnn_0017,33,37,33,3,9,3,7,1,2,720,1.5
gnn_0018,33,37,33,12,7,3,8,1,-2,340,1.0
gnn_0019,33,40,43,5,9,7,9,-1,1,720,2.0
gnn_0020,43,33,33,5,7,9,9,-2,0,256,2.0
gnn_0021,43,37,43,12,7,7,6,2,0,720,3.5
gnn_0022,30,30,33,5,9,5,9,-1,-2,128,2.5
gnn_0023,33,40,30,5,7,5,7,-2,2,720,3.5
gnn_0024,37,33,37,12,3,5,7,1,1,512,5.0
gnn_0025,30,30,40,9,9,9,8,0,0,128,1.0
gnn_0026,43,40,40,12,5,5,5,-2,1,256,3.5
gnn_0027,43,33,40,3,12,5,6,-2,0,256,1.5
gnn_0028,33,33,43,3,5,9,6,0,-2,128,3.5
gnn_0029,33,30,37,5,7,3,6,0,1,256,2.0
gnn_0030,43,43,37,12,7,3,7,-2,1,340,2.0
gnn_0031,40,43,40,7,7,9,9,-2,2,340,0.5
gnn_0032,30,30,40,3,5,12,9,-1,0,512,1.0
gnn_0033,33,40,30,3,12,9,6,2,1,340,4.0
gnn_0034,33,43,40,9,7,5,7,-2,2,340,0.5
gnn_0035,37,33,37,7,9,3,7,0,2,340,1.0
gnn_0036,30,40,30,5,12,9,8,1,-2,256,4.5
gnn_0037,33,37,33,9,9,7,5,0,-1,720,4.5
gnn_0038,40,30,40,5,5,7,6,-1,1,340,3.5
gnn_0039,43,43,40,5,5,5,9,0,0,512,1.0
gnn_0040,43,37,33,7,3,9,9,0,2,340,2.5
gnn_0041,40,37,37,3,12,3,7,-1,2,512,0.5
gnn_0042,43,40,30,12,7,7,8,0,0,256,2.5
gnn_0043,40,33,33,9,5,5,7,1,1,128,5.0
gnn_0044,30,30,40,7,7,3,6,-2,-2,340,2.0
gnn_0045,43,30,43,5,5,7,9,-2,-2,256,1.0
gnn_0046,43,30,40,9,12,9,5,-1,-2,720,2.5
gnn_0047,30,37,37,3,12,12,7,-1,0,340,4.0
gnn_0048,40,33,30,5,9,7,6,-2,2,720,0.5
gnn_0049,37,43,43,3,12,7,9,1,1,128,2.5
gnn_0050,37,37,43,3,9,3,9,-1,2,340,2.5
gnn_0051,33,30,43,7,3,9,8,-2,2,720,4.5
gnn_0052,30,33,40,12,5,7,8,1,-1,340,2.5
gnn_0053,40,40,30,5,7,3,8,2,0,128,1.0
gnn_0054,40,43,40,7,7,9,9,1,0,256,4.5
gnn_0055,43,33,37,7,3,5,6,-2,0,340,2.0
gnn_0056,30,37,43,3,5,3,9,2,2,340,2.5
gnn_0057,30,33,30,3,3,3,6,1,0,340,0.5
gnn_0058,43,43,40,12,9,12,6,-1,2,512,3.5
gnn_0059,37,43,33,5,5,9,7,-2,2,256,4.5
gnn_0060,37,40,30,12,5,5,7,1,0,512,4.5
gnn_0061,37,30,30,12,7,12,9,2,2,256,5.0
gnn_0062,37,30,30,3,3,9,6,1,1,340,4.0
gnn_0063,37,37,40,7,3,9,8,1,-2,512,4.0
gnn_0064,43,43,33,7,7,3,6,1,1,256,2.0
gnn_0065,37,40,40,5,7,7,8,-1,-2,256,4.0
gnn_0066,30,33,40,12,7,5,7,2,0,128,2.0
gnn_0067,30,37,40,12,5,5,5,2,2,256,2.5
gnn_0068,40,30,30,3,5,12,6,-1,2,256,4.5
gnn_0069,33,43,43,3,7,12,7,-2,-2,128,2.5
gnn_0070,37,40,33,5,5,12,7,0,0,128,3.0
gnn_0071,33,43,40,5,7,12,6,-2,1,256,3.5
gnn_0072,43,40,40,12,7,9,8,1,2,256,3.5
gnn_0073,40,37,40,12,3,7,5,-1,1,256,2.0
gnn_0074,33,33,33,3,5,9,9,-1,-1,720,1.0
gnn_0075,30,40,33,7,5,5,5,2,1,720,3.0
gnn_0076,30,43,40,7,7,3,5,0,2,512,1.5
gnn_0077,30,30,40,12,5,7,6,1,-2,128,5.0
