time_s,cell,tx_power_dbm,ret_tilt_deg,ret_bearing_deg,ttt_ms,hysteresis_db,num_ues,avg_rsrp_dbm,ho_in_count,ho_out_count,pingpong_count,avg_throughput_mbps,prb_utilization_pct,energy_state,tx_power_watts,energy_efficiency_mbps_per_w
0.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
0.5,gNB_4G_2,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
1.5,gNB_4G_2,43,15,0,256,3,1,-69,0,0,0,0.32768,1.6,ON,223.777,0.00146431
2.5,gNB_5G,43,15,10,256,3,0,nan,0,0,0,0,0,ON,223.777,0
2.5,gNB_4G_1,43,15,0,256,3,0,nan,0,0,0,0,0,ON,223.777,0
2.5,gNB_4G_2,43,15,0,256,3,1,-68,0,0,0,0.745472,2.275,ON,223.777,0.00333131
3.5,gNB_5G,43,15,10,256,3,1,-64,1,0,0,0.73728,1.79167,ON,223.777,0.0032947
3.5,gNB_4G_1,43,15,0,256,3,1,-44,0,0,0,0.16384,1.1,ON,223.777,0.000732156
3.5,gNB_4G_2,43,15,0,256,3,0,nan,0,1,0,0,0.35,ON,223.777,0
4.5,gNB_5G,43,15,10,256,3,1,-65,1,0,0,0.745472,1.51667,ON,223.777,0.00333131
4.5,gNB_4G_1,43,15,0,256,3,3,-45.6667,0,0,0,0.264875,3.14167,ON,223.777,0.00355096
4.5,gNB_4G_2,43,15,0,256,3,1,-68,0,1,0,0.08192,0.9,ON,223.777,0.000366078
5.5,gNB_5G,43,15,10,256,3,0,nan,1,1,1,0,0.55,ON,223.777,0
5.5,gNB_4G_1,43,15,0,256,3,3,-46.3333,0,0,0,0.4096,4.06667,ON,223.777,0.00549117
5.5,gNB_4G_2,43,15,0,256,3,2,-67,1,1,0,0.462848,2.86667,ON,223.777,0.00413668
6.5,gNB_5G,43,15,10,256,3,1,-64,2,1,1,0.180224,0.758333,ON,223.777,0.000805372
6.5,gNB_4G_1,43,15,0,256,3,3,-46.6667,0,0,0,0.415061,4.15833,ON,223.777,0.00556439
6.5,gNB_4G_2,43,15,0,256,3,1,-65,1,2,0,0.745472,2.825,ON,223.777,0.00333131
7.5,gNB_5G,43,15,10,256,3,1,-66,2,1,1,0.180224,0.366667,ON,223.777,0.000805372
7.5,gNB_4G_1,43,15,0,256,3,4,-49.75,0,0,0,0.36864,5.275,ON,223.777,0.00658941
7.5,gNB_4G_2,43,15,0,256,3,1,-66,1,2,0,0.745472,2.55,ON,223.777,0.00333131
8.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0.116667,ON,223.777,0
8.5,gNB_4G_1,43,15,0,256,3,4,-50.25,0,0,0,0.446464,5.68333,ON,223.777,0.0079805
8.5,gNB_4G_2,43,15,0,256,3,2,-66,2,2,0,0.458752,3.4,ON,223.777,0.00410008
9.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
9.5,gNB_4G_1,43,15,0,256,3,4,-49.75,0,0,0,0.446464,5.55833,ON,223.777,0.0079805
9.5,gNB_4G_2,43,15,0,256,3,2,-63.5,2,2,0,0.462848,2.9,ON,223.777,0.00413668
10.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
10.5,gNB_4G_1,43,15,0,256,3,4,-50.25,0,0,0,0.448512,5.525,ON,223.777,0.00801711
10.5,gNB_4G_2,43,15,0,256,3,2,-64,2,2,0,0.462848,3,ON,223.777,0.00413668
11.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
11.5,gNB_4G_1,43,15,0,256,3,4,-50.25,0,0,0,0.444416,5.5,ON,223.777,0.0079439
11.5,gNB_4G_2,43,15,0,256,3,2,-63,2,2,0,0.458752,2.9,ON,223.777,0.00410008
12.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
12.5,gNB_4G_1,43,15,0,256,3,5,-48,0,0,0,0.421069,7.025,ON,223.777,0.00940821
12.5,gNB_4G_2,43,15,0,256,3,2,-61.5,2,2,0,0.462848,2.85,ON,223.777,0.00413668
13.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
13.5,gNB_4G_1,43,15,0,256,3,5,-47.2,0,0,0,0.496435,7.625,ON,223.777,0.0110922
13.5,gNB_4G_2,43,15,0,256,3,2,-58.5,2,2,0,0.462848,2.85,ON,223.777,0.00413668
14.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
14.5,gNB_4G_1,43,15,0,256,3,5,-47.4,0,0,0,0.49152,7.575,ON,223.777,0.0109823
14.5,gNB_4G_2,43,15,0,256,3,2,-57.5,2,2,0,0.458752,2.8,ON,223.777,0.00410008
15.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
15.5,gNB_4G_1,43,15,0,256,3,6,-48.1667,0,0,0,0.472405,9.275,ON,223.777,0.0126663
15.5,gNB_4G_2,43,15,0,256,3,2,-56,2,2,0,0.458752,2.8,ON,223.777,0.00410008
16.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
16.5,gNB_4G_1,43,15,0,256,3,6,-48,0,0,0,0.546133,10.075,ON,223.777,0.0146431
16.5,gNB_4G_2,43,15,0,256,3,2,-56,2,2,0,0.462848,2.825,ON,223.777,0.00413668
17.5,gNB_5G,43,15,10,256,3,0,nan,2,2,2,0,0,ON,223.777,0
17.5,gNB_4G_1,43,15,0,256,3,6,-46.6667,0,0,0,0.548864,10.1,ON,223.777,0.0147163
