time_s,ue_id,x,y,z,active
0,ue1,-244.215468,403.876169,29.104907,TRUE
0.1,ue1,-244.216418,403.656171,29.104907,TRUE
0.2,ue1,-244.217369,403.436173,29.104907,TRUE
0.3,ue1,-244.218318,403.216175,29.104907,TRUE
0.4,ue1,-244.219269,402.996177,29.104907,TRUE
0.5,ue1,-244.220218,402.776179,29.104907,TRUE
0.6,ue1,-244.221169,402.556181,29.104907,TRUE
0.7,ue1,-244.222119,402.336183,29.104907,TRUE
0.8,ue1,-244.223068,402.116185,29.104907,TRUE
0.9,ue1,-244.224019,401.896187,29.104907,TRUE
1,ue1,-244.224969,401.676189,29.104907,TRUE
1.1,ue1,-244.225919,401.456191,29.104907,TRUE
1.2,ue1,-244.226869,401.236193,29.104907,TRUE
1.3,ue1,-244.227819,401.016195,29.104907,TRUE
1.4,ue1,-244.228769,400.796198,29.104907,TRUE
1.5,ue1,-244.229719,400.5762,29.104907,TRUE
1.6,ue1,-244.230669,400.356202,29.104907,TRUE
1.7,ue1,-244.231619,400.136204,29.104907,TRUE
1.8,ue1,-244.232569,399.916206,29.104907,TRUE
1.9,ue1,-244.23352,399.696208,29.104907,TRUE
2,ue1,-244.234469,399.47621,29.104907,TRUE
2.1,ue1,-244.23542,399.256212,29.104907,TRUE
2.2,ue1,-244.236369,399.036214,29.104907,TRUE
2.3,ue1,-244.237319,398.816216,29.104907,TRUE
2.4,ue1,-244.238269,398.596218,29.104907,TRUE
2.5,ue1,-244.239219,398.37622,29.104907,TRUE
2.6,ue1,-244.24017,398.156222,29.104907,TRUE
2.7,ue1,-244.24112,397.936224,29.104907,TRUE
2.8,ue1,-244.24207,397.716226,29.104907,TRUE
2.9,ue1,-244.24302,397.496228,29.104907,TRUE
3,ue1,-244.24397,397.27623,29.104907,TRUE
3.1,ue1,-244.24492,397.056232,29.104907,TRUE
3.2,ue1,-244.24587,396.836234,29.104907,TRUE
3.3,ue1,-244.24682,396.616237,29.104907,TRUE
3.4,ue1,-244.24777,396.396239,29.104907,TRUE
3.5,ue1,-244.24872,396.176241,29.104907,TRUE
3.6,ue1,-244.24967,395.956243,29.104907,TRUE
3.7,ue1,-244.25062,395.736245,29.104907,TRUE
3.8,ue1,-244.25157,395.516247,29.104907,TRUE
3.9,ue1,-244.25252,395.296249,29.104907,TRUE
4,ue1,-244.25347,395.076251,29.104907,TRUE
4.1,ue1,-244.25442,394.856253,29.104907,TRUE
4.2,ue1,-244.25537,394.636255,29.104907,TRUE
4.3,ue1,-244.256321,394.416257,29.104907,TRUE
4.4,ue1,-244.257271,394.196259,29.104907,TRUE
4.5,ue1,-244.25822,393.976261,29.104907,TRUE
4.6,ue1,-244.25917,393.756263,29.104907,TRUE
4.7,ue1,-244.260121,393.536265,29.104907,TRUE
4.8,ue1,-244.261071,393.316267,29.104907,TRUE
4.9,ue1,-244.262021,393.096269,29.104907,TRUE
5,ue1,-244.262971,392.876271,29.104907,TRUE
5.1,ue1,-244.263921,392.656273,29.104907,TRUE
5.2,ue1,-244.264871,392.436275,29.104907,TRUE
5.3,ue1,-244.26582,392.216278,29.104907,TRUE
5.4,ue1,-244.266771,391.99628,29.104907,TRUE
5.5,ue1,-244.267721,391.776282,29.104907,TRUE
5.6,ue1,-244.268671,391.556284,29.104907,TRUE
5.7,ue1,-244.269621,391.336286,29.104907,TRUE
5.8,ue1,-244.270571,391.116288,29.104907,TRUE
5.9,ue1,-244.271521,390.89629,29.104907,TRUE
6,ue1,-244.272471,390.676292,29.104907,TRUE
6.1,ue1,-244.273421,390.456294,29.104907,TRUE
6.2,ue1,-244.274371,390.236296,29.104907,TRUE
6.3,ue1,-244.275321,390.016298,29.104907,TRUE
6.4,ue1,-244.276271,389.7963,29.104907,TRUE
6.5,ue1,-244.277222,389.576302,29.104907,TRUE
6.6,ue1,-244.278172,389.356304,29.104907,TRUE
6.7,ue1,-244.279121,389.136306,29.104907,TRUE
6.8,ue1,-244.280071,388.916308,29.104907,TRUE
6.9,ue1,-244.281022,388.69631,29.104907,TRUE
7,ue1,-244.281971,388.476312,29.104907,TRUE
7.1,ue1,-244.282922,388.256314,29.104907,TRUE
7.2,ue1,-244.283872,388.036317,29.104907,TRUE
7.3,ue1,-244.284822,387.816319,29.104907,TRUE
7.4,ue1,-244.285772,387.596321,29.104907,TRUE
7.5,ue1,-244.286722,387.376323,29.104907,TRUE
7.6,ue1,-244.287672,387.156325,29.104907,TRUE
7.7,ue1,-244.288622,386.936327,29.104907,TRUE
7.8,ue1,-244.289572,386.716329,29.104907,TRUE
7.9,ue1,-244.290522,386.496331,29.104907,TRUE
8,ue1,-244.291472,386.276333,29.104907,TRUE
8.1,ue1,-244.292422,386.056335,29.104907,TRUE
8.2,ue1,-244.293372,385.836337,29.104907,TRUE
8.3,ue1,-244.294322,385.616339,29.104907,TRUE
8.4,ue1,-244.295272,385.396341,29.104907,TRUE
8.5,ue1,-244.296222,385.176343,29.104907,TRUE
8.6,ue1,-244.297173,384.956345,29.104907,TRUE
8.7,ue1,-244.298122,384.736347,29.104907,TRUE
8.8,ue1,-244.299073,384.516349,29.104907,TRUE
8.9,ue1,-244.300023,384.296351,29.104907,TRUE
9,ue1,-244.300972,384.076353,29.104907,TRUE
9.1,ue1,-244.301923,383.856356,29.104907,TRUE
9.2,ue1,-244.302873,383.636358,29.104907,TRUE
9.3,ue1,-244.303823,383.41636,29.104907,TRUE
9.4,ue1,-244.304773,383.196362,29.104907,TRUE
9.5,ue1,-244.305723,382.976364,29.104907,TRUE
9.6,ue1,-244.306673,382.756366,29.104907,TRUE
9.7,ue1,-244.307623,382.536368,29.104907,TRUE
9.8,ue1,-244.308573,382.31637,29.104907,TRUE
9.9,ue1,-244.309523,382.096372,29.104907,TRUE
10,ue1,-244.310473,381.876374,29.104907,TRUE
10.1,ue1,-244.311423,381.656376,29.104907,TRUE
10.2,ue1,-244.312373,381.436378,29.104907,TRUE
10.3,ue1,-244.313324,381.21638,29.104907,TRUE
10.4,ue1,-244.314273,380.996382,29.104907,TRUE
10.5,ue1,-244.315223,380.776384,29.104907,TRUE
10.6,ue1,-244.316174,380.556386,29.104907,TRUE
10.7,ue1,-244.317123,380.336388,29.104907,TRUE
10.8,ue1,-244.318074,380.11639,29.104907,TRUE
10.9,ue1,-244.319024,379.896392,29.104907,TRUE
11,ue1,-244.319974,379.676394,29.104907,TRUE
