# 100 static UEs uniformly randomly placed inside the playground quadrilateral
# corners: (-285.01,141.38,25) (-319.75,138.11,25) (-327.30,194.38,25) (-290.56,199.03,25)
# no mobility: one sample per UE at time_s=0, position held constant for the whole run
# generated by gen_playground_ues.py, random.seed(42)
time_s,ue_id,x,y,z,active
0.000,ue1,-315.669,151.708,25.0,true
0.000,ue2,-296.155,179.335,25.0,true
0.000,ue3,-289.570,143.406,25.0,true
0.000,ue4,-309.457,139.925,25.0,true
0.000,ue5,-318.054,168.896,25.0,true
0.000,ue6,-299.816,171.308,25.0,true
0.000,ue7,-317.978,174.008,25.0,true
0.000,ue8,-293.222,180.641,25.0,true
0.000,ue9,-312.911,147.582,25.0,true
0.000,ue10,-286.819,158.615,25.0,true
0.000,ue11,-291.459,174.889,25.0,true
0.000,ue12,-293.167,182.565,25.0,true
0.000,ue13,-311.292,171.740,25.0,true
0.000,ue14,-292.224,175.790,25.0,true
0.000,ue15,-290.858,173.282,25.0,true
0.000,ue16,-297.504,140.902,25.0,true
0.000,ue17,-317.662,155.740,25.0,true
0.000,ue18,-300.417,160.336,25.0,true
0.000,ue19,-311.645,150.873,25.0,true
0.000,ue20,-316.010,195.171,25.0,true
0.000,ue21,-299.895,175.218,25.0,true
0.000,ue22,-320.063,182.528,25.0,true
0.000,ue23,-320.390,161.226,25.0,true
0.000,ue24,-303.747,179.817,25.0,true
0.000,ue25,-291.656,185.384,25.0,true
0.000,ue26,-317.614,140.066,25.0,true
0.000,ue27,-313.959,154.421,25.0,true
0.000,ue28,-290.238,157.280,25.0,true
0.000,ue29,-299.581,162.212,25.0,true
0.000,ue30,-288.624,166.063,25.0,true
0.000,ue31,-316.098,153.135,25.0,true
0.000,ue32,-303.560,154.116,25.0,true
0.000,ue33,-302.578,192.805,25.0,true
0.000,ue34,-310.409,151.471,25.0,true
0.000,ue35,-322.663,176.334,25.0,true
0.000,ue36,-293.803,163.828,25.0,true
0.000,ue37,-298.470,170.822,25.0,true
0.000,ue38,-316.016,177.157,25.0,true
0.000,ue39,-322.582,164.596,25.0,true
0.000,ue40,-308.112,196.216,25.0,true
0.000,ue41,-290.260,154.156,25.0,true
0.000,ue42,-306.130,148.993,25.0,true
0.000,ue43,-314.679,177.035,25.0,true
0.000,ue44,-301.547,147.421,25.0,true
0.000,ue45,-295.053,170.969,25.0,true
0.000,ue46,-294.372,170.419,25.0,true
0.000,ue47,-290.139,188.775,25.0,true
0.000,ue48,-314.295,141.639,25.0,true
0.000,ue49,-323.678,167.717,25.0,true
0.000,ue50,-324.373,184.446,25.0,true
0.000,ue51,-294.913,145.932,25.0,true
0.000,ue52,-307.200,171.604,25.0,true
0.000,ue53,-316.091,191.259,25.0,true
0.000,ue54,-309.405,151.013,25.0,true
0.000,ue55,-304.493,182.577,25.0,true
0.000,ue56,-318.793,157.100,25.0,true
0.000,ue57,-308.773,169.641,25.0,true
0.000,ue58,-313.002,173.950,25.0,true
0.000,ue59,-317.568,151.526,25.0,true
0.000,ue60,-324.298,176.557,25.0,true
0.000,ue61,-317.618,193.268,25.0,true
0.000,ue62,-290.946,142.427,25.0,true
0.000,ue63,-317.235,178.864,25.0,true
0.000,ue64,-318.240,146.170,25.0,true
0.000,ue65,-307.311,185.909,25.0,true
0.000,ue66,-293.151,149.710,25.0,true
0.000,ue67,-323.201,164.370,25.0,true
0.000,ue68,-309.387,166.561,25.0,true
0.000,ue69,-296.467,179.131,25.0,true
0.000,ue70,-285.680,144.106,25.0,true
0.000,ue71,-310.273,158.780,25.0,true
0.000,ue72,-290.860,153.258,25.0,true
0.000,ue73,-319.256,165.440,25.0,true
0.000,ue74,-309.459,155.079,25.0,true
0.000,ue75,-316.736,194.355,25.0,true
0.000,ue76,-308.560,190.583,25.0,true
0.000,ue77,-304.027,141.192,25.0,true
0.000,ue78,-291.409,148.242,25.0,true
0.000,ue79,-306.762,151.131,25.0,true
0.000,ue80,-310.340,141.682,25.0,true
0.000,ue81,-316.085,185.876,25.0,true
0.000,ue82,-308.058,163.880,25.0,true
0.000,ue83,-303.797,181.875,25.0,true
0.000,ue84,-320.754,156.185,25.0,true
0.000,ue85,-304.371,183.677,25.0,true
0.000,ue86,-306.034,190.058,25.0,true
0.000,ue87,-302.136,179.244,25.0,true
0.000,ue88,-317.353,145.413,25.0,true
0.000,ue89,-289.650,153.109,25.0,true
0.000,ue90,-302.158,175.843,25.0,true
0.000,ue91,-309.571,173.667,25.0,true
0.000,ue92,-305.192,195.052,25.0,true
0.000,ue93,-318.662,181.740,25.0,true
0.000,ue94,-317.206,162.221,25.0,true
0.000,ue95,-298.894,156.386,25.0,true
0.000,ue96,-313.929,183.914,25.0,true
0.000,ue97,-316.085,194.964,25.0,true
0.000,ue98,-290.048,191.675,25.0,true
0.000,ue99,-311.673,147.720,25.0,true
0.000,ue100,-292.041,180.970,25.0,true
