# 30 UEs inside the playground quadrilateral, with very slight (sub-1m) micro-
# mobility jitter: a bounded random walk (std=0.06m/step, clamped to 1.0m radius
# from the base position) sampled once per second. Base positions are the same
# ones from the original static ue-playground-30.csv (seed 42, same polygon).
# corners: (-285.01,141.38,25) (-319.75,138.11,25) (-327.30,194.38,25) (-290.56,199.03,25)
time_s,ue_id,x,y,z,active
0.000,ue1,-315.669,151.708,25.0,true
1.000,ue1,-315.678,151.698,25.0,true
2.000,ue1,-315.684,151.740,25.0,true
3.000,ue1,-315.692,151.650,25.0,true
4.000,ue1,-315.672,151.634,25.0,true
5.000,ue1,-315.685,151.641,25.0,true
6.000,ue1,-315.671,151.711,25.0,true
7.000,ue1,-315.632,151.717,25.0,true
8.000,ue1,-315.676,151.656,25.0,true
9.000,ue1,-315.661,151.735,25.0,true
10.000,ue1,-315.659,151.729,25.0,true
11.000,ue1,-315.627,151.641,25.0,true
12.000,ue1,-315.646,151.671,25.0,true
13.000,ue1,-315.593,151.656,25.0,true
14.000,ue1,-315.571,151.671,25.0,true
15.000,ue1,-315.524,151.605,25.0,true
16.000,ue1,-315.490,151.514,25.0,true
17.000,ue1,-315.647,151.477,25.0,true
18.000,ue1,-315.702,151.530,25.0,true
19.000,ue1,-315.662,151.457,25.0,true
20.000,ue1,-315.611,151.397,25.0,true
21.000,ue1,-315.616,151.379,25.0,true
22.000,ue1,-315.609,151.428,25.0,true
23.000,ue1,-315.571,151.449,25.0,true
24.000,ue1,-315.532,151.478,25.0,true
25.000,ue1,-315.570,151.435,25.0,true
26.000,ue1,-315.598,151.465,25.0,true
27.000,ue1,-315.613,151.605,25.0,true
28.000,ue1,-315.662,151.539,25.0,true
29.000,ue1,-315.616,151.624,25.0,true
30.000,ue1,-315.586,151.674,25.0,true
31.000,ue1,-315.500,151.669,25.0,true
32.000,ue1,-315.585,151.637,25.0,true
33.000,ue1,-315.528,151.550,25.0,true
34.000,ue1,-315.526,151.565,25.0,true
35.000,ue1,-315.545,151.609,25.0,true
36.000,ue1,-315.510,151.748,25.0,true
37.000,ue1,-315.473,151.711,25.0,true
38.000,ue1,-315.507,151.662,25.0,true
39.000,ue1,-315.450,151.628,25.0,true
40.000,ue1,-315.454,151.673,25.0,true
41.000,ue1,-315.497,151.655,25.0,true
42.000,ue1,-315.608,151.590,25.0,true
43.000,ue1,-315.642,151.615,25.0,true
44.000,ue1,-315.570,151.614,25.0,true
45.000,ue1,-315.554,151.624,25.0,true
46.000,ue1,-315.489,151.677,25.0,true
47.000,ue1,-315.473,151.617,25.0,true
48.000,ue1,-315.419,151.640,25.0,true
49.000,ue1,-315.345,151.638,25.0,true
50.000,ue1,-315.228,151.616,25.0,true
51.000,ue1,-315.132,151.623,25.0,true
