# KHU_Final seed=448, exported via export_ue_positions.py
time_s,ue_id,x,y,z,active
2.000,car_north_peak_001_rider,-246.050,514.880,30.120,true
3.000,car_north_peak_001_rider,-246.055,514.035,30.120,true
3.000,car_north_peak_002_rider,-249.050,514.900,30.120,true
4.000,car_north_peak_001_rider,-246.075,511.042,30.120,true
4.000,car_north_peak_002_rider,-249.050,514.900,30.120,true
5.000,car_north_peak_001_rider,-246.108,505.938,30.120,true
5.000,car_north_peak_002_rider,-246.050,514.880,30.120,true
6.000,car_north_peak_001_rider,-246.149,499.731,30.120,true
6.000,car_north_peak_002_rider,-246.056,514.026,30.120,true
7.000,car_north_peak_001_rider,-246.189,493.537,30.120,true
7.000,car_north_peak_002_rider,-246.075,511.026,30.120,true
8.000,car_north_peak_001_rider,-246.229,487.336,30.120,true
8.000,car_north_peak_002_rider,-246.108,505.990,30.120,true
8.000,car_north_peak_003,-246.050,514.806,30.120,true
9.000,car_north_peak_001_rider,-246.270,481.135,30.120,true
9.000,car_north_peak_002_rider,-246.145,500.320,30.120,true
9.000,car_north_peak_004_rider,-249.050,514.900,30.120,true
9.000,car_north_peak_003,-246.062,513.048,30.120,true
10.000,car_north_peak_001_rider,-246.310,474.939,30.120,true
10.000,car_north_peak_002_rider,-246.182,494.632,30.120,true
10.000,car_north_peak_004_rider,-249.050,514.900,30.120,true
10.000,car_north_peak_005_rider,-249.750,514.904,30.120,true
10.000,car_north_peak_003,-246.087,509.206,30.120,true
11.000,car_north_peak_001_rider,-246.325,468.754,30.119,true
11.000,car_north_peak_002_rider,-246.219,488.951,30.120,true
11.000,car_north_peak_004_rider,-246.050,514.806,30.120,true
11.000,car_north_peak_005_rider,-249.750,514.904,30.120,true
11.000,car_north_peak_003,-246.119,504.294,30.120,true
12.000,car_north_peak_001_rider,-246.268,462.564,30.114,true
12.000,car_north_peak_002_rider,-246.256,483.263,30.120,true
12.000,car_north_peak_004_rider,-246.062,513.088,30.120,true
12.000,car_north_peak_005_rider,-249.750,514.904,30.120,true
12.000,car_north_peak_003,-246.151,499.380,30.120,true
13.000,car_north_peak_001_rider,-246.210,456.389,30.109,true
13.000,car_north_peak_002_rider,-246.293,477.588,30.120,true
13.000,car_north_peak_004_rider,-246.086,509.302,30.120,true
13.000,car_north_peak_005_rider,-249.750,514.904,30.120,true
13.000,car_north_peak_003,-246.183,494.463,30.120,true
14.000,car_north_peak_001_rider,-246.152,450.194,30.104,true
14.000,car_north_peak_002_rider,-246.330,471.931,30.120,true
14.000,car_north_peak_004_rider,-246.122,503.772,30.120,true
14.000,car_north_peak_005_rider,-246.050,514.807,30.120,true
14.000,ue_n042_0001,-371.414,179.210,28.390,true
14.000,car_north_peak_003,-246.215,489.565,30.120,true
15.000,car_north_peak_001_rider,-246.124,443.995,30.100,true
15.000,car_north_peak_002_rider,-246.302,466.269,30.117,true
15.000,car_north_peak_004_rider,-246.159,498.090,30.120,true
15.000,car_north_peak_005_rider,-246.062,513.065,30.120,true
15.000,ue_n001_0001,-227.718,498.453,30.133,true
15.000,ue_n042_0001,-371.158,180.607,28.389,true
15.000,car_north_peak_003,-246.247,484.650,30.120,true
16.000,car_north_peak_001_rider,-248.463,438.771,30.100,true
16.000,car_north_peak_002_rider,-246.249,460.616,30.112,true
16.000,car_north_peak_004_rider,-246.195,492.626,30.120,true
16.000,car_north_peak_005_rider,-246.086,509.317,30.120,true
16.000,ue_n001_0001,-226.385,498.084,30.138,true
16.000,ue_n042_0001,-370.905,181.989,28.388,true
16.000,car_north_peak_003,-246.279,479.758,30.120,true
17.000,car_north_peak_001_rider,-255.432,438.700,29.148,true
17.000,car_north_peak_002_rider,-246.196,454.944,30.108,true
17.000,car_north_peak_004_rider,-246.229,487.379,30.120,true
17.000,car_north_peak_005_rider,-246.121,503.987,30.120,true
17.000,ue_n001_0001,-225.061,497.717,30.142,true
17.000,ue_n042_0001,-370.634,183.469,28.387,true
17.000,car_north_peak_003,-246.311,474.843,30.120,true
18.000,car_north_peak_001_rider,-264.572,438.743,28.002,true
18.000,car_north_peak_002_rider,-246.143,449.258,30.104,true
18.000,car_north_peak_004_rider,-246.262,482.263,30.120,true
18.000,car_north_peak_005_rider,-246.156,498.519,30.120,true
