# KHU_Final seed=19, exported via export_ue_positions.py
time_s,ue_id,x,y,z,active
1.000,car_north_peak_001_rider,-246.050,514.880,30.120,true
2.000,car_north_peak_001_rider,-246.057,513.823,30.120,true
2.000,car_north_peak_002_rider,-249.050,514.900,30.120,true
3.000,car_north_peak_001_rider,-246.077,510.660,30.120,true
3.000,car_north_peak_002_rider,-249.050,514.900,30.120,true
4.000,car_north_peak_001_rider,-246.109,505.821,30.120,true
4.000,car_north_peak_002_rider,-246.050,514.880,30.120,true
4.000,ue_n001_0001,-228.656,498.712,30.130,true
5.000,car_north_peak_001_rider,-246.142,500.791,30.120,true
5.000,car_north_peak_002_rider,-242.857,513.821,30.120,true
5.000,ue_n001_0001,-227.284,498.332,30.135,true
6.000,car_north_peak_001_rider,-246.174,495.768,30.120,true
6.000,car_north_peak_002_rider,-242.877,510.753,30.120,true
6.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
6.000,ue_n001_0001,-225.937,497.960,30.139,true
7.000,car_north_peak_001_rider,-246.207,490.733,30.120,true
7.000,car_north_peak_002_rider,-242.908,505.994,30.120,true
7.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
7.000,ue_n001_0001,-224.565,497.580,30.144,true
7.000,car_north_peak_003,-246.056,514.021,30.120,true
8.000,car_north_peak_001_rider,-246.240,485.718,30.120,true
8.000,car_north_peak_002_rider,-242.940,501.027,30.120,true
8.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
8.000,ue_n001_0001,-223.218,497.207,30.148,true
8.000,car_north_peak_003,-246.075,510.988,30.120,true
9.000,car_north_peak_001_rider,-246.272,480.696,30.120,true
9.000,car_north_peak_002_rider,-242.972,496.059,30.120,true
9.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
9.000,ue_n001_0001,-221.903,496.843,30.152,true
9.000,car_north_peak_003,-246.106,506.256,30.120,true
9.000,car_north_peak_004,-246.050,514.806,30.120,true
10.000,car_north_peak_001_rider,-246.305,475.664,30.120,true
10.000,car_north_peak_002_rider,-243.005,491.087,30.120,true
10.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
10.000,ue_n001_0001,-220.596,496.482,30.157,true
10.000,car_north_peak_003,-246.138,501.391,30.120,true
10.000,car_north_peak_004,-246.062,513.079,30.120,true
11.000,car_north_peak_001_rider,-246.338,470.637,30.120,true
11.000,car_north_peak_002_rider,-243.037,486.125,30.120,true
11.000,car_north_peak_005_rider,-249.050,514.900,30.120,true
11.000,ue_n001_0001,-219.254,496.111,30.161,true
11.000,ue_n001_0002,-228.656,498.712,30.130,true
11.000,car_north_peak_003,-246.169,496.528,30.120,true
11.000,car_north_peak_004,-246.087,509.266,30.120,true
12.000,car_north_peak_001_rider,-246.296,465.616,30.116,true
12.000,car_north_peak_002_rider,-243.070,481.140,30.120,true
12.000,car_north_peak_005_rider,-246.050,514.807,30.120,true
12.000,ue_n001_0001,-217.881,495.731,30.166,true
12.000,ue_n001_0002,-227.261,498.326,30.135,true
12.000,car_north_peak_003,-246.201,491.677,30.120,true
12.000,car_north_peak_004,-246.120,504.129,30.120,true
13.000,car_north_peak_001_rider,-246.249,460.579,30.112,true
13.000,car_north_peak_002_rider,-243.102,476.156,30.120,true
13.000,car_north_peak_005_rider,-246.062,513.105,30.120,true
13.000,ue_n001_0001,-216.567,495.370,30.170,true
13.000,ue_n001_0002,-225.894,497.948,30.139,true
13.000,car_north_peak_003,-246.233,486.806,30.120,true
13.000,car_north_peak_004,-246.153,499.072,30.120,true
14.000,car_north_peak_001_rider,-246.202,455.549,30.109,true
14.000,car_north_peak_002_rider,-243.134,471.179,30.120,true
14.000,car_north_peak_005_rider,-246.085,509.429,30.120,true
14.000,ue_n001_0001,-215.212,495.317,30.128,true
14.000,ue_n001_0002,-224.538,497.573,30.144,true
14.000,car_north_peak_003,-246.264,481.944,30.120,true
14.000,car_north_peak_004,-246.185,494.084,30.120,true
15.000,car_north_peak_001_rider,-246.155,450.522,30.105,true
15.000,car_north_peak_002_rider,-243.102,466.213,30.117,true
15.000,car_north_peak_005_rider,-246.119,504.234,30.120,true
15.000,ue_n001_0001,-213.816,495.263,30.085,true
15.000,ue_n001_0002,-223.186,497.198,30.148,true
15.000,car_north_peak_003,-246.296,477.093,30.120,true
15.000,car_north_peak_004,-246.217,489.146,30.120,true
15.000,car_north_peak_006,-246.052,514.526,30.120,true
16.000,car_north_peak_001_rider,-246.108,445.499,30.101,true
16.000,car_north_peak_002_rider,-243.055,461.230,30.113,true
16.000,car_north_peak_005_rider,-246.154,498.951,30.120,true
16.000,ue_n001_0001,-212.435,495.210,30.042,true
16.000,ue_n001_0002,-221.871,496.835,30.152,true
16.000,car_north_peak_003,-246.328,472.230,30.120,true
16.000,car_north_peak_004,-246.249,484.239,30.120,true
16.000,car_north_peak_006,-246.067,512.193,30.120,true
17.000,car_north_peak_001_rider,-246.173,440.484,30.100,true
17.000,car_north_peak_002_rider,-243.009,456.266,30.109,true
17.000,car_north_peak_005_rider,-246.188,493.649,30.120,true
17.000,ue_n001_0001,-211.017,495.187,30.004,true
17.000,ue_n001_0002,-220.516,496.460,30.157,true
17.000,car_north_peak_003,-246.312,467.364,30.118,true
17.000,car_north_peak_004,-246.281,479.344,30.120,true
17.000,car_north_peak_006,-246.096,507.880,30.120,true
18.000,car_north_peak_001_rider,-246.259,435.462,30.100,true
18.000,car_north_peak_002_rider,-242.962,451.300,30.105,true
18.000,car_north_peak_005_rider,-246.223,488.364,30.120,true
18.000,ue_n001_0001,-209.636,495.246,29.982,true
18.000,ue_n001_0002,-219.173,496.088,30.161,true
18.000,car_north_peak_003,-246.267,462.519,30.114,true
18.000,car_north_peak_004,-246.313,474.472,30.120,true
18.000,car_north_peak_006,-246.132,502.323,30.120,true
19.000,car_north_peak_001_rider,-246.348,430.444,30.100,true
19.000,car_north_peak_002_rider,-242.916,446.333,30.101,true
19.000,car_north_peak_005_rider,-246.257,483.067,30.120,true
19.000,ue_n001_0001,-208.275,495.334,29.976,true
19.000,ue_n001_0002,-217.843,495.720,30.166,true
19.000,ue_n001_0003,-227.463,498.382,30.134,true
19.000,car_north_peak_003,-246.222,457.669,30.110,true
19.000,car_north_peak_004,-246.333,469.611,30.119,true
19.000,car_north_peak_006,-246.168,496.771,30.120,true
20.000,car_north_peak_001_rider,-246.439,425.426,30.100,true
20.000,car_north_peak_002_rider,-242.957,441.362,30.100,true
20.000,car_north_peak_005_rider,-246.291,477.775,30.120,true
20.000,ue_n001_0001,-206.872,495.466,29.990,true
20.000,ue_n001_0002,-216.442,495.365,30.166,true
20.000,ue_n001_0003,-226.119,498.010,30.138,true
20.000,car_north_peak_003,-246.176,452.794,30.106,true
20.000,car_north_peak_004,-246.288,464.747,30.116,true
20.000,car_north_peak_006,-246.204,491.219,30.120,true
21.000,car_north_peak_001_rider,-246.530,420.392,30.100,true
21.000,car_north_peak_002_rider,-243.042,436.392,30.100,true
21.000,car_north_peak_005_rider,-246.326,472.515,30.120,true
21.000,ue_n001_0001,-205.499,495.594,30.004,true
21.000,ue_n001_0002,-215.047,495.311,30.123,true
21.000,ue_n001_0003,-224.740,497.628,30.143,true
21.000,car_north_peak_003,-246.131,447.939,30.103,true
21.000,car_north_peak_004,-246.243,459.890,30.112,true
21.000,car_north_peak_006,-246.240,485.670,30.120,true
22.000,car_north_peak_001_rider,-246.598,415.370,30.100,true
22.000,car_north_peak_002_rider,-243.129,431.422,30.100,true
22.000,car_north_peak_005_rider,-246.313,467.394,30.118,true
22.000,ue_n001_0001,-204.068,495.625,30.010,true
22.000,ue_n001_0002,-213.614,495.255,30.078,true
22.000,ue_n001_0003,-223.367,497.248,30.148,true
22.000,car_north_peak_003,-246.128,443.095,30.100,true
22.000,car_north_peak_004,-246.197,455.022,30.108,true
22.000,car_north_peak_006,-246.276,480.175,30.120,true
23.000,car_north_peak_001_rider,-246.590,410.344,30.100,true
23.000,car_north_peak_002_rider,-243.219,426.458,30.100,true
23.000,car_north_peak_005_rider,-246.266,462.370,30.114,true
23.000,ue_n001_0001,-202.668,495.582,30.010,true
23.000,ue_n001_0002,-212.237,495.202,30.036,true
23.000,ue_n001_0003,-222.032,496.879,30.152,true
23.000,car_north_peak_003,-246.212,438.236,30.100,true
23.000,car_north_peak_004,-246.152,450.170,30.104,true
23.000,car_north_peak_006,-246.310,474.881,30.120,true
24.000,car_north_peak_001_rider,-246.582,405.321,30.100,true
24.000,car_north_peak_002_rider,-243.309,421.489,30.100,true
24.000,car_north_peak_005_rider,-246.219,457.407,30.110,true
24.000,ue_n001_0001,-201.210,495.537,30.010,true
24.000,ue_n001_0002,-210.824,495.195,30.001,true
24.000,ue_n001_0003,-220.647,496.496,30.157,true
24.000,car_north_peak_003,-246.295,433.365,30.100,true
24.000,car_north_peak_004,-246.106,445.288,30.101,true
24.000,car_north_peak_006,-246.335,469.739,30.120,true
25.000,car_north_peak_001_rider,-246.574,400.304,30.100,true
25.000,car_north_peak_002_rider,-243.399,416.522,30.100,true
25.000,car_north_peak_005_rider,-246.174,452.490,30.106,true
25.000,ue_n001_0001,-199.799,495.583,30.168,true
25.000,ue_n001_0002,-209.400,495.257,29.979,true
25.000,ue_n001_0003,-219.297,496.122,30.161,true
25.000,ue_n043_0001,-348.843,86.000,33.377,true
