time_s,ue_id,x,y,z,active
0.000,ue1,-120.928,244.678,33.098,true
1.000,ue1,-122.127,244.683,33.098,true
2.000,ue1,-123.360,244.688,33.098,true
3.000,ue1,-124.688,244.694,33.098,true
4.000,ue1,-125.898,244.699,33.098,true
5.000,ue1,-127.051,244.704,33.098,true
6.000,ue1,-128.272,244.710,33.098,true
7.000,ue1,-129.661,244.716,33.098,true
8.000,ue1,-131.024,244.721,33.098,true
9.000,ue1,-132.397,244.727,33.098,true
10.000,ue1,-133.736,244.769,33.110,true
11.000,ue1,-135.031,244.966,33.115,true
12.000,ue1,-136.225,245.148,33.123,true
13.000,ue1,-137.365,245.321,33.132,true
14.000,ue1,-138.618,245.511,33.151,true
15.000,ue1,-139.766,245.686,33.177,true
16.000,ue1,-140.887,245.856,33.210,true
17.000,ue1,-142.154,246.049,33.250,true
18.000,ue1,-143.273,246.219,33.395,true
19.000,ue1,-144.593,246.419,33.346,true
20.000,ue1,-145.922,246.621,33.330,true
21.000,ue1,-147.075,246.796,33.324,true
22.000,ue1,-148.237,246.973,33.318,true
23.000,ue1,-149.399,247.150,33.313,true
24.000,ue1,-150.530,247.321,33.308,true
25.000,ue1,-151.665,247.494,33.303,true
26.000,ue1,-153.039,247.475,33.291,true
27.000,ue1,-154.277,247.447,33.280,true
28.000,ue1,-155.519,247.420,33.270,true
29.000,ue1,-156.673,247.394,33.261,true
30.000,ue1,-157.974,247.365,33.195,true
31.000,ue1,-159.114,247.340,33.125,true
32.000,ue1,-160.502,247.309,33.040,true
33.000,ue1,-161.869,247.279,32.961,true
34.000,ue1,-163.152,247.250,32.897,true
35.000,ue1,-164.291,247.225,32.840,true
36.000,ue1,-165.422,247.200,32.781,true
37.000,ue1,-166.708,247.171,32.622,true
38.000,ue1,-167.997,247.142,32.443,true
39.000,ue1,-169.337,247.113,32.258,true
40.000,ue1,-170.603,247.084,32.052,true
41.000,ue1,-171.859,247.057,31.813,true
42.000,ue1,-173.018,247.031,31.591,true
43.000,ue1,-174.173,247.005,31.343,true
44.000,ue1,-175.354,246.979,31.142,true
45.000,ue1,-176.698,246.949,30.910,true
46.000,ue1,-177.913,246.922,30.640,true
47.000,ue1,-179.033,246.897,30.327,true
48.000,ue1,-180.357,246.868,30.171,true
49.000,ue1,-181.601,246.840,30.026,true
50.000,ue1,-182.826,246.813,29.890,true
51.000,ue1,-184.178,246.783,29.707,true
52.000,ue1,-185.422,246.755,29.503,true
53.000,ue1,-185.581,245.550,29.465,true
54.000,ue1,-185.550,244.272,29.388,true
55.000,ue1,-185.519,243.001,29.298,true
56.000,ue1,-185.490,241.822,29.162,true
57.000,ue1,-185.462,240.628,29.087,true
58.000,ue1,-185.430,239.311,29.039,true
59.000,ue1,-185.400,238.080,29.014,true
60.000,ue1,-185.372,236.925,28.967,true
61.000,ue1,-185.342,235.693,28.924,true
62.000,ue1,-185.311,234.426,28.860,true
63.000,ue1,-185.278,233.044,28.810,true
64.000,ue1,-185.250,231.900,28.807,true
65.000,ue1,-185.221,230.694,28.808,true
66.000,ue1,-185.187,229.326,28.809,true
67.000,ue1,-185.159,228.152,28.798,true
68.000,ue1,-185.128,226.880,28.783,true
69.000,ue1,-185.098,225.627,28.769,true
70.000,ue1,-185.066,224.320,28.753,true
71.000,ue1,-185.038,223.171,28.740,true
72.000,ue1,-185.006,221.856,28.724,true
73.000,ue1,-184.974,220.534,28.709,true
74.000,ue1,-184.941,219.176,28.693,true
75.000,ue1,-184.909,217.861,28.678,true
76.000,ue1,-184.877,216.533,28.662,true
77.000,ue1,-184.848,215.316,28.648,true
78.000,ue1,-184.818,214.110,28.634,true
79.000,ue1,-184.785,212.735,28.616,true
80.000,ue1,-184.754,211.440,28.590,true
81.000,ue1,-184.725,210.265,28.567,true
82.000,ue1,-184.698,209.135,28.545,true
83.000,ue1,-184.668,207.921,28.520,true
84.000,ue1,-184.640,206.759,28.497,true
85.000,ue1,-184.610,205.515,28.496,true
86.000,ue1,-184.580,204.280,28.495,true
87.000,ue1,-184.547,202.913,28.495,true
88.000,ue1,-184.520,201.785,28.502,true
89.000,ue1,-184.486,200.395,28.510,true
90.000,ue1,-184.454,199.091,28.518,true
91.000,ue1,-184.424,197.856,28.526,true
92.000,ue1,-184.393,196.580,28.534,true
93.000,ue1,-184.362,195.283,28.542,true
94.000,ue1,-184.328,193.898,28.550,true
95.000,ue1,-184.295,192.539,28.558,true
96.000,ue1,-184.265,191.271,28.566,true
97.000,ue1,-184.234,190.021,28.574,true
98.000,ue1,-184.201,188.652,28.582,true
99.000,ue1,-184.169,187.338,28.628,true
100.000,ue1,-184.139,186.096,28.650,true
101.000,ue1,-184.110,184.876,28.668,true
102.000,ue1,-184.052,183.583,28.688,true
103.000,ue1,-183.907,182.429,28.714,true
104.000,ue1,-183.754,181.208,28.741,true
105.000,ue1,-183.598,179.959,28.839,true
106.000,ue1,-183.428,178.605,28.935,true
107.000,ue1,-183.281,177.431,29.026,true
108.000,ue1,-183.114,176.099,29.114,true
109.000,ue1,-182.961,174.876,29.136,true
110.000,ue1,-182.806,173.641,29.061,true
111.000,ue1,-182.647,172.365,29.151,true
112.000,ue1,-182.490,171.112,29.237,true
113.000,ue1,-182.321,169.769,29.328,true
114.000,ue1,-182.162,168.500,29.415,true
115.000,ue1,-182.090,167.260,29.493,true
116.000,ue1,-182.177,166.037,29.552,true
117.000,ue1,-182.273,164.689,29.610,true
118.000,ue1,-182.371,163.305,29.671,true
119.000,ue1,-182.452,162.163,29.860,true
120.000,ue1,-182.540,160.933,29.969,true
121.000,ue1,-182.626,159.715,29.984,true
122.000,ue1,-182.424,158.654,30.015,true
123.000,ue1,-181.222,158.662,30.106,true
124.000,ue1,-180.070,158.670,30.223,true
125.000,ue1,-178.922,158.678,30.358,true
126.000,ue1,-177.743,158.687,30.522,true
127.000,ue1,-176.580,158.695,30.707,true
128.000,ue1,-175.465,158.703,30.898,true
129.000,ue1,-174.172,158.712,31.085,true
130.000,ue1,-172.884,158.721,31.273,true
131.000,ue1,-171.748,158.729,31.435,true
132.000,ue1,-170.595,158.737,31.582,true
133.000,ue1,-169.445,158.745,31.730,true
134.000,ue1,-168.105,158.755,31.901,true
135.000,ue1,-166.849,158.763,32.064,true
136.000,ue1,-165.718,158.771,32.217,true
137.000,ue1,-164.549,158.780,32.375,true
138.000,ue1,-163.188,158.789,32.521,true
139.000,ue1,-161.814,158.799,32.654,true
140.000,ue1,-160.664,158.807,32.766,true
141.000,ue1,-159.275,158.817,32.824,true
142.000,ue1,-157.940,158.826,32.871,true
143.000,ue1,-156.767,158.834,32.916,true
144.000,ue1,-155.662,158.344,33.014,true
145.000,ue1,-154.675,157.610,33.091,true
146.000,ue1,-153.645,156.845,33.114,true
147.000,ue1,-152.740,156.172,33.181,true
148.000,ue1,-151.655,155.365,33.213,true
149.000,ue1,-150.579,154.544,33.273,true
150.000,ue1,-149.640,153.650,33.264,true
151.000,ue1,-148.647,152.704,33.254,true
152.000,ue1,-147.713,151.814,33.254,true
153.000,ue1,-147.205,151.330,33.850,true
154.000,ue1,-146.606,150.760,34.351,true
155.000,ue1,-145.905,150.092,34.776,true
156.000,ue1,-145.355,149.567,35.196,true
157.000,ue1,-144.631,149.302,35.620,true
158.000,ue1,-143.974,149.089,36.282,true
159.000,ue1,-143.253,148.855,36.865,true
160.000,ue1,-142.558,148.629,37.289,true
161.000,ue1,-141.872,148.406,37.713,true
162.000,ue1,-141.159,148.175,38.138,true
163.000,ue1,-140.440,147.941,38.713,true
164.000,ue1,-139.806,147.735,39.382,true
165.000,ue1,-138.994,147.472,39.811,true
166.000,ue1,-138.084,147.176,40.285,true
167.000,ue1,-137.495,146.985,40.906,true
168.000,ue1,-136.753,146.744,41.487,true
169.000,ue1,-135.885,146.462,41.918,true
170.000,ue1,-134.869,146.132,42.162,true
171.000,ue1,-133.820,145.791,42.529,true
172.000,ue1,-132.778,145.453,42.871,true
173.000,ue1,-131.618,145.076,43.215,true
174.000,ue1,-130.450,144.697,43.524,true
175.000,ue1,-129.174,144.552,43.760,true
176.000,ue1,-127.888,144.429,44.000,true
177.000,ue1,-126.613,144.308,44.238,true
178.000,ue1,-125.358,144.188,44.473,true
179.000,ue1,-124.032,144.062,44.721,true
9.000,ue2,-25.339,151.218,62.595,true
10.000,ue2,-26.427,151.102,62.595,true
11.000,ue2,-27.533,150.984,62.595,true
12.000,ue2,-28.627,150.867,62.595,true
13.000,ue2,-29.752,150.747,62.595,true
14.000,ue2,-30.925,150.645,62.595,true
15.000,ue2,-32.013,150.649,62.590,true
16.000,ue2,-33.146,150.654,62.560,true
17.000,ue2,-34.150,150.658,62.515,true
18.000,ue2,-35.205,150.663,62.455,true
19.000,ue2,-36.435,150.668,62.364,true
20.000,ue2,-37.680,150.674,62.233,true
21.000,ue2,-38.871,150.679,62.070,true
22.000,ue2,-40.037,150.684,61.885,true
23.000,ue2,-41.224,150.626,61.626,true
24.000,ue2,-42.188,150.443,61.368,true
25.000,ue2,-43.303,150.231,61.015,true
26.000,ue2,-44.363,150.030,60.625,true
27.000,ue2,-45.489,149.816,60.139,true
28.000,ue2,-46.392,149.644,59.693,true
29.000,ue2,-47.276,149.476,59.228,true
30.000,ue2,-48.178,149.305,58.727,true
31.000,ue2,-49.237,149.104,58.093,true
32.000,ue2,-50.089,148.942,57.582,true
33.000,ue2,-51.104,148.749,56.969,true
34.000,ue2,-52.053,148.429,56.421,true
35.000,ue2,-52.830,147.979,55.966,true
36.000,ue2,-53.759,147.441,55.444,true
37.000,ue2,-54.736,146.874,54.941,true
38.000,ue2,-55.644,146.348,54.510,true
39.000,ue2,-56.538,145.830,54.136,true
40.000,ue2,-57.375,145.345,53.800,true
41.000,ue2,-58.268,144.827,53.479,true
42.000,ue2,-59.315,144.220,53.153,true
