time_s,ue_id,x,y,z,active
0.000,ue1,-344.122,318.529,32.648,true
1.000,ue1,-343.088,318.467,32.832,true
2.000,ue1,-342.155,318.411,33.235,true
3.000,ue1,-341.244,318.356,33.586,true
4.000,ue1,-340.309,318.301,33.916,true
5.000,ue1,-339.058,318.226,34.071,true
6.000,ue1,-338.917,317.271,34.073,true
7.000,ue1,-339.084,315.915,34.073,true
8.000,ue1,-339.240,314.644,34.074,true
9.000,ue1,-339.401,313.340,34.074,true
10.000,ue1,-339.548,312.150,34.074,true
11.000,ue1,-339.695,310.950,34.074,true
12.000,ue1,-339.851,309.690,34.074,true
13.000,ue1,-339.997,308.505,34.074,true
14.000,ue1,-340.163,307.153,34.074,true
15.000,ue1,-340.340,305.717,34.099,true
16.000,ue1,-340.488,304.520,33.851,true
17.000,ue1,-340.579,303.776,33.390,true
18.000,ue1,-340.692,302.860,32.961,true
19.000,ue1,-340.792,302.050,32.432,true
20.000,ue1,-340.889,301.260,31.872,true
21.000,ue1,-340.992,300.421,31.309,true
22.000,ue1,-341.097,299.575,30.850,true
23.000,ue1,-341.221,298.563,30.493,true
24.000,ue1,-341.378,297.295,30.493,true
25.000,ue1,-341.558,295.835,30.493,true
26.000,ue1,-341.700,294.676,30.467,true
27.000,ue1,-341.786,293.979,29.902,true
28.000,ue1,-341.881,293.211,29.347,true
29.000,ue1,-341.973,292.460,28.734,true
30.000,ue1,-342.136,291.141,28.734,true
31.000,ue1,-342.315,289.689,28.734,true
32.000,ue1,-342.468,288.447,28.694,true
33.000,ue1,-341.426,287.908,28.692,true
34.000,ue1,-340.209,287.797,28.521,true
35.000,ue1,-338.971,287.684,28.349,true
36.000,ue1,-337.573,287.556,28.349,true
37.000,ue1,-336.204,287.431,28.349,true
38.000,ue1,-334.766,287.300,28.349,true
39.000,ue1,-333.476,287.182,28.349,true
40.000,ue1,-332.284,287.073,28.350,true
41.000,ue1,-330.895,286.946,28.350,true
42.000,ue1,-329.645,286.832,28.350,true
43.000,ue1,-328.376,286.716,28.350,true
44.000,ue1,-326.982,286.589,28.350,true
45.000,ue1,-325.709,286.473,28.350,true
46.000,ue1,-324.326,286.347,28.351,true
47.000,ue1,-322.988,286.225,28.351,true
48.000,ue1,-321.608,286.098,28.351,true
49.000,ue1,-320.333,285.982,28.351,true
50.000,ue1,-318.968,285.857,28.351,true
51.000,ue1,-317.524,285.726,28.351,true
52.000,ue1,-316.196,285.604,28.352,true
53.000,ue1,-314.958,285.491,28.352,true
