time_s,ue,serving_cell,rsrp_serving_dbm,neighbor_cell,rsrp_neighbor_dbm,dl_throughput_mbps,ho_count,seconds_since_ho,is_pingpong,dl_sinr_db,dl_mcs
1.5,ue_n042_0001,gNB_5G,-71,gNB_4G_2,-82,0.172032,1,0.0399284,0,38.1916,28
2.5,ue_n042_0001,gNB_5G,-72,gNB_4G_2,-82,0.4096,1,1.03993,0,37.4894,28
3.5,ue_n042_0001,gNB_5G,-73,gNB_4G_2,-82,0.4096,1,2.03993,0,35.4761,28
3.5,car_north_peak_001,gNB_4G_1,-62,gNB_4G_2,-91,0.172032,0,-1,0,38.6945,28
4.5,ue_n042_0001,gNB_5G,-75,gNB_4G_2,-86,0.4096,1,3.03993,0,31.6055,28
4.5,car_north_peak_001,gNB_4G_1,-64,gNB_4G_2,-93,0.4096,0,-1,0,43.1391,28
4.5,car_north_peak_002_rider,gNB_4G_1,-66,gNB_4G_2,-85,0.188416,0,-1,0,34.8059,0
4.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_4G_2,-87,0.188416,0,-1,0,40.3809,28
4.5,ue_n042_0002,gNB_5G,-71,gNB_4G_2,-86,0.188416,1,0.0399284,0,37.6454,28
5.5,ue_n042_0001,gNB_5G,-79,gNB_4G_2,-91,0.4096,1,4.03993,0,30.5277,28
5.5,car_north_peak_001,gNB_4G_1,-66,gNB_4G_2,-96,0.4096,0,-1,0,45.8051,28
5.5,car_north_peak_002_rider,gNB_4G_1,-67,gNB_4G_2,-87,0.4096,0,-1,0,38.9543,28
5.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_4G_2,-85,0.4096,0,-1,0,37.6972,28
5.5,ue_n042_0002,gNB_5G,-72,gNB_4G_2,-85,0.4096,1,1.03993,0,31.6197,28
6.5,ue_n042_0001,gNB_5G,-75,gNB_4G_2,-85,0.4096,1,5.03993,0,31.7163,28
6.5,car_north_peak_001,gNB_4G_1,-68,gNB_5G,-92,0.4096,0,-1,0,37.5177,28
6.5,car_north_peak_002_rider,gNB_4G_1,-65,gNB_4G_2,-90,0.4096,0,-1,0,38.6945,28
6.5,car_north_peak_003_rider,gNB_4G_1,-63,gNB_4G_2,-84,0.4096,0,-1,0,37.6972,28
6.5,ue_n042_0002,gNB_5G,-72,gNB_4G_2,-86,0.4096,1,2.03993,0,35.5044,28
7.5,ue_n042_0001,gNB_5G,-73,gNB_4G_2,-91,0.4096,1,6.03993,0,27.6047,28
7.5,car_north_peak_001,gNB_4G_1,-74,gNB_5G,-85,0.4096,0,-1,0,16.5968,15
7.5,car_north_peak_002_rider,gNB_4G_1,-64,gNB_4G_2,-93,0.4096,0,-1,0,34.2144,28
7.5,car_north_peak_003_rider,gNB_4G_1,-63,gNB_4G_2,-85,0.4096,0,-1,0,37.6972,28
7.5,ue_n042_0002,gNB_5G,-75,gNB_4G_2,-84,0.4096,1,3.03993,0,31.4397,28
7.5,ue_ujeongwon_0001,gNB_5G,-74,gNB_4G_1,-81,0.172032,1,0.0399284,0,35.9158,28
8.5,ue_n042_0001,gNB_5G,-75,gNB_4G_2,-83,0.4096,1,7.03993,0,38.0158,28
8.5,car_north_peak_001,gNB_4G_1,-73,gNB_5G,-79,0.4096,0,-1,0,14.1199,12
8.5,car_north_peak_002_rider,gNB_4G_1,-66,gNB_4G_2,-96,0.4096,0,-1,0,32.6043,28
8.5,car_north_peak_003_rider,gNB_4G_1,-63,gNB_4G_2,-86,0.4096,0,-1,0,37.6972,19
8.5,ue_n042_0002,gNB_5G,-79,gNB_4G_2,-90,0.4096,1,4.03993,0,31.5749,28
8.5,ue_ujeongwon_0001,gNB_5G,-74,gNB_4G_1,-80,0.4096,1,1.03993,0,16.0028,19
9.5,ue_n042_0001,gNB_5G,-69,gNB_4G_2,-83,0.4096,1,8.03993,0,29.6678,20
9.5,car_north_peak_001,gNB_4G_1,-69,gNB_5G,-80,0.4096,0,-1,0,39.6116,28
9.5,car_north_peak_002_rider,gNB_4G_1,-68,gNB_5G,-92,0.4096,0,-1,0,20.2362,22
9.5,car_north_peak_003_rider,gNB_4G_1,-63,gNB_4G_2,-88,0.4096,0,-1,0,38.6945,28
9.5,ue_n042_0002,gNB_5G,-79,gNB_4G_2,-86,0.4096,1,5.03993,0,30.9885,22
9.5,ue_ujeongwon_0001,gNB_5G,-73,gNB_4G_1,-76,0.4096,1,2.03993,0,36.276,28
10.5,ue_n042_0001,gNB_5G,-75,gNB_4G_2,-85,0.4096,1,9.03993,0,32.3558,24
10.5,car_north_peak_001,gNB_4G_1,-60,gNB_5G,-79,0.4096,0,-1,0,25.6624,24
10.5,car_north_peak_002_rider,gNB_4G_1,-68,gNB_5G,-85,0.4096,0,-1,0,24.6158,23
10.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_4G_2,-93,0.4096,0,-1,0,34.2195,22
10.5,ue_n042_0002,gNB_5G,-76,gNB_4G_2,-84,0.4096,1,6.03993,0,26.9007,23
10.5,ue_ujeongwon_0001,gNB_5G,-74,gNB_4G_1,-75,0.4096,1,3.03993,0,16.5472,28
11.5,ue_n042_0001,gNB_5G,-74,gNB_4G_2,-75,0.4096,1,10.0399,0,28.8171,28
11.5,car_north_peak_001,gNB_4G_1,-55,gNB_5G,-80,0.4096,0,-1,0,46.3726,28
11.5,car_north_peak_002_rider,gNB_4G_1,-63,gNB_5G,-82,0.4096,0,-1,0,42.1803,28
11.5,car_north_peak_003_rider,gNB_4G_1,-66,gNB_4G_2,-96,0.4096,0,-1,0,29.427,28
11.5,ue_n042_0002,gNB_5G,-75,gNB_4G_2,-82,0.4096,1,7.03993,0,34.5268,28
11.5,ue_ujeongwon_0001,gNB_4G_1,-76,gNB_5G,-92,0.4096,2,0.839928,1,25.6523,27
12.5,ue_n042_0001,gNB_5G,-77,gNB_4G_2,-76,0.4096,1,11.0399,0,33.7857,28
12.5,car_north_peak_001,gNB_4G_1,-65,gNB_4G_2,-75,0.4096,0,-1,0,39.7569,28
12.5,car_north_peak_002_rider,gNB_4G_1,-62,gNB_5G,-81,0.4096,0,-1,0,46.009,28
12.5,car_north_peak_003_rider,gNB_4G_1,-67,gNB_5G,-89,0.4096,0,-1,0,38.448,28
12.5,ue_n042_0002,gNB_5G,-69,gNB_4G_2,-83,0.4096,1,8.03993,0,34.591,28
12.5,ue_ujeongwon_0001,gNB_4G_1,-79,gNB_5G,-104,0.4096,2,1.83993,1,39.0492,28
12.5,car_north_peak_004,gNB_4G_1,-62,gNB_4G_2,-91,0.188416,0,-1,0,38.696,28
13.5,ue_n042_0001,gNB_5G,-74,gNB_4G_2,-73,0.4096,1,12.0399,0,22.0702,28
13.5,car_north_peak_001,gNB_4G_1,-71,gNB_4G_2,-75,0.4096,0,-1,0,40.605,28
13.5,car_north_peak_002_rider,gNB_4G_1,-62,gNB_5G,-77,0.4096,0,-1,0,43.4389,28
13.5,car_north_peak_003_rider,gNB_4G_1,-69,gNB_5G,-86,0.4096,0,-1,0,40.7728,28
13.5,ue_n042_0002,gNB_5G,-72,gNB_4G_2,-85,0.4096,1,9.03993,0,24.7473,28
13.5,ue_ujeongwon_0001,gNB_4G_1,-73,gNB_5G,-90,0.4096,2,2.83993,1,45.284,28
13.5,car_north_peak_004,gNB_4G_1,-64,gNB_4G_2,-92,0.4096,0,-1,0,34.1067,28
14.5,ue_n042_0001,gNB_4G_2,-75,gNB_5G,-84,0.4096,2,0.839928,0,38.269,15
14.5,car_north_peak_001,gNB_4G_1,-66,gNB_4G_2,-77,0.4096,0,-1,0,42.1313,28
14.5,car_north_peak_002_rider,gNB_4G_1,-65,gNB_5G,-79,0.4096,0,-1,0,42.8669,28
14.5,car_north_peak_003_rider,gNB_4G_1,-70,gNB_5G,-81,0.4096,0,-1,0,39.9243,28
14.5,ue_n042_0002,gNB_4G_2,-72,gNB_5G,-76,0.4096,2,0.0399284,0,34.052,28
14.5,ue_ujeongwon_0001,gNB_4G_1,-68,gNB_5G,-70,0.4096,2,3.83993,1,29.8519,28
14.5,car_north_peak_004,gNB_4G_1,-66,gNB_4G_2,-95,0.4096,0,-1,0,35.7396,28
15.5,ue_n042_0001,gNB_4G_2,-69,gNB_5G,-84,0.4096,2,1.83993,0,30.2273,28
15.5,car_north_peak_001,gNB_4G_1,-55,gNB_4G_2,-76,0.4096,0,-1,0,51.2652,28
15.5,car_north_peak_002_rider,gNB_4G_1,-69,gNB_4G_2,-77,0.4096,0,-1,0,37.6447,28
15.5,car_north_peak_003_rider,gNB_4G_1,-66,gNB_5G,-79,0.4096,0,-1,0,46.9987,28
15.5,ue_n042_0002,gNB_4G_2,-71,gNB_5G,-76,0.4096,2,1.03993,0,36.8197,28
15.5,ue_ujeongwon_0001,gNB_4G_1,-71,gNB_5G,-71,0.4096,2,4.83993,1,36.2942,28
15.5,car_north_peak_004,gNB_4G_1,-69,gNB_5G,-89,0.4096,0,-1,0,34.9699,28
15.5,car_north_peak_005,gNB_4G_1,-64,gNB_4G_2,-92,0.172032,0,-1,0,35.3105,28
16.5,ue_n042_0001,gNB_4G_2,-75,gNB_5G,-79,0.4096,2,2.83993,0,34.2945,28
16.5,car_north_peak_001,gNB_4G_1,-55,gNB_4G_2,-76,0.4096,0,-1,0,51.6423,28
16.5,car_north_peak_002_rider,gNB_4G_1,-75,gNB_4G_2,-77,0.4096,0,-1,0,31.9212,28
16.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_5G,-80,0.4096,0,-1,0,47.8099,28
16.5,ue_n042_0002,gNB_4G_2,-73,gNB_5G,-74,0.4096,2,2.03993,0,34.0864,28
16.5,ue_ujeongwon_0001,gNB_4G_1,-78,gNB_5G,-84,0.4096,2,5.83993,1,40.2551,28
16.5,car_north_peak_004,gNB_4G_1,-72,gNB_5G,-80,0.4096,0,-1,0,29.3066,27
16.5,car_north_peak_005,gNB_4G_1,-62,gNB_4G_2,-94,0.4096,0,-1,0,33.9685,28
17.5,ue_n042_0001,gNB_4G_2,-71,gNB_5G,-75,0.4096,2,3.83993,0,30.4804,28
17.5,car_north_peak_001,gNB_4G_1,-57,gNB_5G,-86,0.4096,0,-1,0,51.9146,28
17.5,car_north_peak_002_rider,gNB_4G_1,-75,gNB_4G_2,-77,0.4096,0,-1,0,51.2056,28
17.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_5G,-80,0.4096,0,-1,0,45.0937,28
17.5,ue_n042_0002,gNB_4G_2,-74,gNB_5G,-76,0.4096,2,3.03993,0,31.1664,27
17.5,ue_ujeongwon_0001,gNB_4G_1,-69,gNB_5G,-83,0.4096,2,6.83993,1,42.9036,28
17.5,car_north_peak_004,gNB_4G_1,-71,gNB_5G,-81,0.4096,0,-1,0,34.9013,28
17.5,car_north_peak_005,gNB_4G_1,-64,gNB_5G,-97,0.4096,0,-1,0,32.5315,28
18.5,ue_n042_0001,gNB_4G_2,-69,gNB_5G,-83,0.4096,2,4.83993,0,25.3685,28
18.5,car_north_peak_001,gNB_4G_1,-57,gNB_5G,-82,0.4096,0,-1,0,50.6077,28
18.5,car_north_peak_002_rider,gNB_4G_1,-63,gNB_4G_2,-76,0.4096,0,-1,0,48.4461,28
18.5,car_north_peak_003_rider,gNB_4G_1,-64,gNB_5G,-83,0.4096,0,-1,0,42.3137,28
18.5,ue_n042_0002,gNB_4G_2,-73,gNB_5G,-79,0.4096,2,4.03993,0,30.8646,28
18.5,ue_ujeongwon_0001,gNB_4G_1,-68,gNB_5G,-82,0.4096,2,7.83993,1,33.0377,28
18.5,car_north_peak_004,gNB_4G_1,-66,gNB_5G,-83,0.4096,0,-1,0,29.3234,27
18.5,car_north_peak_005,gNB_4G_1,-69,gNB_5G,-90,0.4096,0,-1,0,27.9524,27
19.5,ue_n042_0001,gNB_5G,-73,gNB_4G_2,-80,0.4096,3,0.639928,1,35.8513,28
19.5,car_north_peak_001,gNB_4G_1,-60,gNB_5G,-83,0.4096,0,-1,0,49.1004,28
19.5,car_north_peak_002_rider,gNB_4G_1,-61,gNB_4G_2,-75,0.4096,0,-1,0,51.4798,28
